SportName,Gender,PSAL Program Name,PSAL Code,Season,League,Cost
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Bronx Regional                                    ,09500,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Edward A Reynolds West Side                       ,03520,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Metro/BDA @ Thelma J Hamilton Campus,23643,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Queens Academy High School,28600,S,MPL," $	10,459.26 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,South Brooklyn Community High School,15563,S,MPL," $	10,459.26 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Brooklyn Bridge Academy,18578,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Brooklyn Frontiers High School,15423,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Bushwick Community High School,32564,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Claremont International High School,09564,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,East Brooklyn Community High School,18673,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,International Community High School,07334,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Research and Service HS,16670,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Voyages South Preparatory High School,27261,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Arturo A. Schomburg Satellite Academy Bronx,02461,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Aspirations Diploma Plus High School,23646,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Bronx Regional                                    ,09500,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Brownsville Academy High School,17568,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Cascades Center,01561,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Edward A Reynolds West Side                       ,03520,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Liberation Diploma Plus HS,21728,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Liberty High School Academy for Newcomers,02507,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Lower East Side Prep,01854,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Manhattan High School,02605,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Marcy Avenue Campus,13502,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Metro/BDA @ Thelma J Hamilton Campus,23643,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Mott Haven Community High School,07557,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,New Dawn Charter High School,15486,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Queens Academy High School,28600,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Queens Satellite High School For Opportunity,28523,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,South Brooklyn Community High School,15563,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Voyages Preparatory,24744,W,MPL," $	10,083.60 "
BASKETBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Wildcat Academy,02574,W,MPL," $	10,083.60 "
BASEBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Arturo A. Schomburg Satellite Academy Bronx,02461,F,MPL," $	8,514.84 "
BASEBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Claremont International High School,09564,F,MPL," $	8,514.84 "
BASEBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,International Community High School,07334,F,MPL," $	8,514.84 "
BASEBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Liberty High School Academy for Newcomers,02507,F,MPL," $	8,514.84 "
BASEBALL BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Mott Haven Community High School,07557,F,MPL," $	8,514.84 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Arturo A. Schomburg Satellite Academy Bronx,02461,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Mott Haven Community High School,07557,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Queens Satellite High School For Opportunity,28523,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Bronx Regional                                    ,09500,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Edward A Reynolds West Side                       ,03520,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Queens Academy High School,28600,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Voyages Preparatory,24744,S,MPL," $	8,180.70 "
SOFTBALL COED MULTIPLE PATHWAYS LEAGUE,Coed,Wildcat Academy,02574,S,MPL," $	8,180.70 "
SOCCER BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Claremont International High School,09564,S,MPL," $	7,276.07 "
SOCCER BOYS MULTIPLE PATHWAYS LEAGUE,Boys,International Community High School,07334,S,MPL," $	7,276.07 "
SOCCER BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Liberty High School Academy for Newcomers,02507,S,MPL," $	7,276.07 "
SOCCER BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Lower East Side Prep,01854,S,MPL," $	7,276.07 "
SOCCER BOYS MULTIPLE PATHWAYS LEAGUE,Boys,Manhattan Comprehensive High School,02555,S,MPL," $	7,276.07 "
SOCCER GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Claremont International High School,09564,S,MPL," $	6,850.47 "
SOCCER GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,International Community High School,07334,S,MPL," $	6,850.47 "
SOCCER GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Manhattan Comprehensive High School,02555,S,MPL," $	6,850.47 "
OUTDOOR TRACK COED MULTIPLE PATHWAYS LEAGUE,Coed,Brownsville Academy High School,17568,S,MPL," $	6,782.17 "
OUTDOOR TRACK COED MULTIPLE PATHWAYS LEAGUE,Coed,International Community High School,07334,S,MPL," $	6,782.17 "
OUTDOOR TRACK COED MULTIPLE PATHWAYS LEAGUE,Coed,Lower East Side Prep,01854,S,MPL," $	6,782.17 "
OUTDOOR TRACK COED MULTIPLE PATHWAYS LEAGUE,Coed,South Brooklyn Community High School,15563,S,MPL," $	6,782.17 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Claremont International High School,09564,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Edward A Reynolds West Side                       ,03520,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,International Community High School,07334,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Liberty High School Academy for Newcomers,02507,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Mott Haven Community High School,07557,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Queens Satellite High School For Opportunity,28523,F,MPL," $	6,493.59 "
VOLLEYBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,South Brooklyn Community High School,15563,F,MPL," $	6,493.59 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Bronx Bridges High School,08570,W,MPL," $	6,094.63 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Claremont International High School,09564,W,MPL," $	6,094.63 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,International Community High School,07334,W,MPL," $	6,094.63 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Lower East Side Prep,01854,W,MPL," $	6,094.63 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Manhattan High School,02605,W,MPL," $	6,094.63 "
TABLE TENNIS COED MULTIPLE PATHWAYS LEAGUE,Coed,Voyages Preparatory,24744,W,MPL," $	6,094.63 "
BASKETBALL GIRLS MULTIPLE PATHWAYS LEAGUE,Girls,Wildcat Academy,02574,S,MPL," $	2,416.75 "
BASEBALL BOYS JR. VARSITY,Boys,A. Philip Randolph Campus High School,06577,S,PSAL," $	5,522.50 "
BASEBALL BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,S,PSAL," $	12,672.16 "
BASKETBALL BOYS JR. VARSITY,Boys,A. Philip Randolph Campus High School,06577,W,PSAL," $	8,662.79 "
BASKETBALL BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS JR. VARSITY,Girls,A. Philip Randolph Campus High School,06577,W,PSAL," $	8,768.04 "
BASKETBALL GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,F,PSAL," $	5,697.40 "
FOOTBALL BOYS JR. VARSITY,Boys,A. Philip Randolph Campus High School,06577,F,PSAL," $	11,761.71 "
FOOTBALL BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,F,PSAL," $	30,931.65 "
LACROSSE BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,S,PSAL," $	10,482.77 "
LACROSSE GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,S,PSAL," $	10,461.56 "
OUTDOOR TRACK BOYS,Boys,A. Philip Randolph Campus High School,06577,S,PSAL," $	8,314.00 "
OUTDOOR TRACK GIRLS,Girls,A. Philip Randolph Campus High School,06577,S,PSAL," $	8,302.65 "
SOCCER BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,F,PSAL," $	9,606.82 "
SOCCER GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,F,PSAL," $	9,626.43 "
SOFTBALL GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,S,PSAL," $	12,414.75 "
SWIMMING BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,W,PSAL," $	8,865.73 "
SWIMMING GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,F,PSAL," $	8,847.91 "
TENNIS GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,F,PSAL," $	5,719.69 "
VOLLEYBALL BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,S,PSAL," $	7,530.71 "
VOLLEYBALL GIRLS JR. VARSITY,Girls,A. Philip Randolph Campus High School,06577,F,PSAL," $	5,223.27 "
VOLLEYBALL GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,F,PSAL," $	7,447.78 "
WRESTLING BOYS VARSITY,Boys,A. Philip Randolph Campus High School,06577,W,PSAL," $	9,242.15 "
WRESTLING GIRLS VARSITY,Girls,A. Philip Randolph Campus High School,06577,S,PSAL," $	9,242.15 "
BASEBALL BOYS VARSITY,Boys,Abraham Lincoln High School,21501,S,PSAL," $	12,672.16 "
BASKETBALL BOYS JR. VARSITY,Boys,Abraham Lincoln High School,21501,W,PSAL," $	8,662.79 "
BASKETBALL BOYS VARSITY,Boys,Abraham Lincoln High School,21501,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,Abraham Lincoln High School,21501,F,PSAL," $	5,697.40 "
BOWLING GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,F,PSAL," $	5,710.03 "
CROSS COUNTRY BOYS,Boys,Abraham Lincoln High School,21501,F,PSAL," $	6,181.42 "
CROSS COUNTRY GIRLS,Girls,Abraham Lincoln High School,21501,F,PSAL," $	6,161.29 "
FOOTBALL BOYS JR. VARSITY,Boys,Abraham Lincoln High School,21501,F,PSAL," $	11,761.71 "
FOOTBALL BOYS VARSITY,Boys,Abraham Lincoln High School,21501,F,PSAL," $	30,931.65 "
HANDBALL BOYS VARSITY,Boys,Abraham Lincoln High School,21501,S,PSAL," $	5,700.79 "
HANDBALL GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,S,PSAL," $	5,744.56 "
INDOOR TRACK BOYS,Boys,Abraham Lincoln High School,21501,W,PSAL," $	8,950.18 "
INDOOR TRACK GIRLS,Girls,Abraham Lincoln High School,21501,W,PSAL," $	8,936.68 "
LACROSSE GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,S,PSAL," $	10,461.56 "
OUTDOOR TRACK BOYS,Boys,Abraham Lincoln High School,21501,S,PSAL," $	8,314.00 "
OUTDOOR TRACK GIRLS,Girls,Abraham Lincoln High School,21501,S,PSAL," $	8,302.65 "
SOCCER BOYS VARSITY,Boys,Abraham Lincoln High School,21501,F,PSAL," $	9,606.82 "
SOCCER GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,F,PSAL," $	9,626.43 "
SOFTBALL GIRLS JR. VARSITY,Girls,Abraham Lincoln High School,21501,S,PSAL," $	6,786.62 "
SOFTBALL GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,S,PSAL," $	12,414.75 "
SWIMMING BOYS VARSITY,Boys,Abraham Lincoln High School,21501,W,PSAL," $	8,865.73 "
SWIMMING GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,F,PSAL," $	8,847.91 "
TENNIS BOYS VARSITY,Boys,Abraham Lincoln High School,21501,S,PSAL," $	5,748.02 "
TENNIS GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,F,PSAL," $	5,719.69 "
VOLLEYBALL BOYS VARSITY,Boys,Abraham Lincoln High School,21501,S,PSAL," $	7,530.71 "
VOLLEYBALL GIRLS VARSITY,Girls,Abraham Lincoln High School,21501,F,PSAL," $	7,447.78 "
BASEBALL BOYS VARSITY,Boys,Academy for Careers In Television and Film,30511,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,Academy for Careers In Television and Film,30511,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Academy for Careers In Television and Film,30511,W,PSAL," $	14,033.29 "
FLAG FOOTBALL GIRLS VARSITY,Girls,Academy for Careers In Television and Film,30511,S,PSAL," $	6,744.26 "
SOFTBALL GIRLS VARSITY,Girls,Academy for Careers In Television and Film,30511,S,PSAL," $	12,414.75 "
VOLLEYBALL GIRLS VARSITY,Girls,Academy for Careers In Television and Film,30511,F,PSAL," $	7,447.78 "
BASEBALL BOYS VARSITY,Boys,Academy for Language and Technology,09365,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,Academy for Language and Technology,09365,W,PSAL," $	14,011.52 "
SOFTBALL GIRLS VARSITY,Girls,Academy for Language and Technology,09365,S,PSAL," $	12,414.75 "
VOLLEYBALL GIRLS VARSITY,Girls,Academy for Language and Technology,09365,F,PSAL," $	7,447.78 "
SOFTBALL GIRLS VARSITY,Girls,Academy for Social Action,05367,S,PSAL," $	12,414.75 "
STUNT COED VARSITY,Coed,Academy for Social Action,05367,S,PSAL," $	6,562.93 "
BASEBALL BOYS VARSITY,Boys,Academy of American Studies,30470,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,Academy of American Studies,30470,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Academy of American Studies,30470,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,Academy of American Studies,30470,F,PSAL," $	5,697.40 "
BOWLING GIRLS VARSITY,Girls,Academy of American Studies,30470,F,PSAL," $	5,710.03 "
CROSS COUNTRY BOYS,Boys,Academy of American Studies,30470,F,PSAL," $	6,181.42 "
CROSS COUNTRY GIRLS,Girls,Academy of American Studies,30470,F,PSAL," $	6,161.29 "
FLAG FOOTBALL GIRLS VARSITY,Girls,Academy of American Studies,30470,S,PSAL," $	6,744.26 "
SOCCER BOYS VARSITY,Boys,Academy of American Studies,30470,F,PSAL," $	9,606.82 "
SOCCER GIRLS VARSITY,Girls,Academy of American Studies,30470,F,PSAL," $	9,626.43 "
SOFTBALL GIRLS VARSITY,Girls,Academy of American Studies,30470,S,PSAL," $	12,414.75 "
STUNT COED VARSITY,Coed,Academy of American Studies,30470,S,PSAL," $	6,562.93 "
VOLLEYBALL BOYS VARSITY,Boys,Academy of American Studies,30470,S,PSAL," $	7,530.71 "
VOLLEYBALL GIRLS VARSITY,Girls,Academy of American Studies,30470,F,PSAL," $	7,447.78 "
BASKETBALL GIRLS VARSITY,Girls,Achievement First Brooklyn High School,17669,W,PSAL," $	14,033.29 "
BASKETBALL BOYS VARSITY,Boys,Adams Street Academy,13483,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Adams Street Academy,13483,W,PSAL," $	14,033.29 "
SOCCER BOYS VARSITY,Boys,Adams Street Academy,13483,F,PSAL," $	9,606.82 "
VOLLEYBALL GIRLS VARSITY,Girls,Adams Street Academy,13483,F,PSAL," $	7,447.78 "
BADMINTON GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,S,PSAL," $	5,819.87 "
BASEBALL BOYS VARSITY,Boys,Adlai Stevenson Campus,08527,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,Adlai Stevenson Campus,08527,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,W,PSAL," $	14,033.29 "
FOOTBALL BOYS VARSITY,Boys,Adlai Stevenson Campus,08527,F,PSAL," $	30,931.65 "
INDOOR TRACK GIRLS,Girls,Adlai Stevenson Campus,08527,W,PSAL," $	8,936.68 "
OUTDOOR TRACK BOYS,Boys,Adlai Stevenson Campus,08527,S,PSAL," $	8,314.00 "
OUTDOOR TRACK GIRLS,Girls,Adlai Stevenson Campus,08527,S,PSAL," $	8,302.65 "
SOCCER BOYS VARSITY,Boys,Adlai Stevenson Campus,08527,F,PSAL," $	9,606.82 "
SOCCER GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,F,PSAL," $	9,626.43 "
SOFTBALL GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,S,PSAL," $	12,414.75 "
TENNIS GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,F,PSAL," $	5,719.69 "
VOLLEYBALL GIRLS VARSITY,Girls,Adlai Stevenson Campus,08527,F,PSAL," $	7,447.78 "
BASKETBALL BOYS VARSITY,Boys,Albert Tuitt Educational Campus,11514,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Albert Tuitt Educational Campus,11514,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,Albert Tuitt Educational Campus,11514,F,PSAL," $	5,697.40 "
BOWLING GIRLS VARSITY,Girls,Albert Tuitt Educational Campus,11514,F,PSAL," $	5,710.03 "
LACROSSE BOYS VARSITY,Boys,Albert Tuitt Educational Campus,11514,S,PSAL," $	10,482.77 "
OUTDOOR TRACK BOYS,Boys,Albert Tuitt Educational Campus,11514,S,PSAL," $	8,314.00 "
OUTDOOR TRACK GIRLS,Girls,Albert Tuitt Educational Campus,11514,S,PSAL," $	8,302.65 "
SOCCER BOYS VARSITY,Boys,Albert Tuitt Educational Campus,11514,F,PSAL," $	9,606.82 "
SOCCER GIRLS VARSITY,Girls,Albert Tuitt Educational Campus,11514,F,PSAL," $	9,626.43 "
VOLLEYBALL GIRLS VARSITY,Girls,Albert Tuitt Educational Campus,11514,F,PSAL," $	7,447.78 "
BASEBALL BOYS JR. VARSITY,Boys,Alfred E. Smith Campus,07519,S,PSAL," $	5,522.50 "
BASEBALL BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,S,PSAL," $	12,672.16 "
BASKETBALL BOYS JR. VARSITY,Boys,Alfred E. Smith Campus,07519,W,PSAL," $	8,662.79 "
BASKETBALL BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Alfred E. Smith Campus,07519,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,F,PSAL," $	5,697.40 "
FLAG FOOTBALL GIRLS VARSITY,Girls,Alfred E. Smith Campus,07519,S,PSAL," $	6,744.26 "
FOOTBALL BOYS JR. VARSITY,Boys,Alfred E. Smith Campus,07519,F,PSAL," $	11,761.71 "
FOOTBALL BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,F,PSAL," $	30,931.65 "
OUTDOOR TRACK BOYS,Boys,Alfred E. Smith Campus,07519,S,PSAL," $	8,314.00 "
SOCCER BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,F,PSAL," $	9,606.82 "
TENNIS BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,S,PSAL," $	5,748.02 "
VOLLEYBALL BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,S,PSAL," $	7,530.71 "
VOLLEYBALL GIRLS VARSITY,Girls,Alfred E. Smith Campus,07519,F,PSAL," $	7,447.78 "
WRESTLING BOYS VARSITY,Boys,Alfred E. Smith Campus,07519,W,PSAL," $	9,242.15 "
BASEBALL BOYS VARSITY,Boys,All City Leadership Secondary School,32572,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,All City Leadership Secondary School,32572,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,All City Leadership Secondary School,32572,W,PSAL," $	14,033.29 "
BOWLING BOYS VARSITY,Boys,All City Leadership Secondary School,32572,F,PSAL," $	5,697.40 "
HANDBALL BOYS VARSITY,Boys,All City Leadership Secondary School,32572,S,PSAL," $	5,700.79 "
HANDBALL GIRLS VARSITY,Girls,All City Leadership Secondary School,32572,S,PSAL," $	5,744.56 "
OUTDOOR TRACK GIRLS,Girls,All City Leadership Secondary School,32572,S,PSAL," $	8,302.65 "
VOLLEYBALL BOYS VARSITY,Boys,All City Leadership Secondary School,32572,S,PSAL," $	7,530.71 "
VOLLEYBALL GIRLS VARSITY,Girls,All City Leadership Secondary School,32572,F,PSAL," $	7,447.78 "
STUNT COED VARSITY,Coed,American Sign Language and English,02047,S,PSAL," $	6,562.93 "
BASEBALL BOYS VARSITY,Boys,Archimedes/Maleska Campus,08367,S,PSAL," $	12,672.16 "
BASKETBALL BOYS VARSITY,Boys,Archimedes/Maleska Campus,08367,W,PSAL," $	14,011.52 "
BASKETBALL GIRLS VARSITY,Girls,Archimedes/Maleska Campus,08367,W,PSAL," $	14,033.29 "
CROSS COUNTRY BOYS,Boys,Archimedes/Maleska Campus,08367,F,PSAL," $	6,181.42 "
INDOOR TRACK BOYS,Boys,Archimedes/Maleska Campus,08367,W,PSAL," $	8,950.18 "
INDOOR TRACK GIRLS,Girls,Archimedes/Maleska Campus,08367,W,PSAL," $	8,936.68 "
OUTDOOR TRACK GIRLS,Girls,Archimedes/Maleska Campus,08367,S,PSAL," $	8,302.65 "
SOFTBALL GIRLS VARSITY,Girls,Archimedes/Maleska Campus,08367,S,PSAL," $	12,414.75 "
