"sender","subject","number","dt","dow","full","date","time","ndt"
"sr-mob.webmaster@noaa.gov","EM Draft: BHMHWOMOB Mon Sep 2 10:17:18 GMT 2019",1,2019-09-02 06:17:00,"Monday","September 2, 2019 6:17 AM","September 2, 2019","6:17 AM",1567419420
"John Murphy - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",2,2019-09-02 08:10:00,"Monday","September 2, 2019 8:10 AM","September 2, 2019","8:10 AM",1567426200
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",3,2019-09-02 20:50:00,"Monday","September 2, 2019 8:50 PM","September 2, 2019","8:50 PM",1567471800
"Julie Roberts - NOAA Federal","can you send me the latest talking points on Alabama",4,2019-09-03 14:02:00,"Tuesday","September 3, 2019 2:02 PM","September 3, 2019","2:02 PM",1567533720
"Chris Darden - NOAA Federal","Fwd: Media inquiry from Washington Examiner",5,2019-09-03 14:33:00,"Tuesday","September 3, 2019 2:33 PM","September 3, 2019","2:33 PM",1567535580
"Susan Buchanan - NOAA Federal","Re: Media inquiry from Washington Examiner",6,2019-09-03 15:18:00,"Tuesday","September 3, 2019 3:18 PM","September 3, 2019","3:18 PM",1567538280
"Susan Buchanan - NOAA Federal","Media Inquiry: POTUS Tweet",7,2019-09-03 15:20:00,"Tuesday","September 3, 2019 3:20 PM","September 3, 2019","3:20 PM",1567538400
"Chris Darden - NOAA Federal","Re: Media inquiry from Washington Examiner",8,2019-09-03 15:31:00,"Tuesday","September 3, 2019 3:31 PM","September 3, 2019","3:31 PM",1567539060
"Scott Smullen - NOAA Federal","Re: Media Inquiry: POTUS Tweet",9,2019-09-03 15:36:00,"Tuesday","September 3, 2019 3:36 PM","September 3, 2019","3:36 PM",1567539360
"Julie Roberts - NOAA Federal","RE: Media Inquiry: POTUS Tweet",10,2019-09-03 15:37:00,"Tuesday","September 3, 2019 3:37 PM","September 3, 2019","3:37 PM",1567539420
"Susan Buchanan - NOAA Federal","Re: Media Inquiry: POTUS Tweet",11,2019-09-03 15:59:00,"Tuesday","September 3, 2019 3:59 PM","September 3, 2019","3:59 PM",1567540740
"Julie Roberts - NOAA Federal","RE: Media Inquiry: POTUS Tweet",12,2019-09-03 16:27:00,"Tuesday","September 3, 2019 4:27 PM","September 3, 2019","4:27 PM",1567542420
"Susan Buchanan - NOAA Federal","Re: Media Inquiry: POTUS Tweet",13,2019-09-03 18:45:00,"Tuesday","September 3, 2019 6:45 PM","September 3, 2019","6:45 PM",1567550700
"Corey Pieper - NOAA Federal","Doctored chart.",14,2019-09-04 14:10:00,"Wednesday","September 4, 2019 2:10 PM","September 4, 2019","2:10 PM",1567620600
"Scott Smullen - NOAA Federal","Fwd: Urgent media request for Washington Post",15,2019-09-04 14:11:00,"Wednesday","September 4, 2019 2:11 PM","September 4, 2019","2:11 PM",1567620660
"Dennis Feltgen - NOAA Federal","Fwd: URGENT ABC NEWS Question",16,2019-09-04 14:11:00,"Wednesday","September 4, 2019 2:11 PM","September 4, 2019","2:11 PM",1567620660
"Christopher Vaccaro - NOAA Federal","Re: URGENT ABC NEWS Question",17,2019-09-04 14:15:00,"Wednesday","September 4, 2019 2:15 PM","September 4, 2019","2:15 PM",1567620900
"Dennis Feltgen - NOAA Federal","Re: URGENT ABC NEWS Question",18,2019-09-04 14:16:00,"Wednesday","September 4, 2019 2:16 PM","September 4, 2019","2:16 PM",1567620960
"Dennis Feltgen - NOAA Federal","Re: URGENT ABC NEWS Question",19,2019-09-04 14:22:00,"Wednesday","September 4, 2019 2:22 PM","September 4, 2019","2:22 PM",1567621320
"Christopher Vaccaro - NOAA Federal","Re: URGENT ABC NEWS Question",20,2019-09-04 14:23:00,"Wednesday","September 4, 2019 2:23 PM","September 4, 2019","2:23 PM",1567621380
"Christopher Vaccaro - NOAA Federal","Fwd: URGENT ABC NEWS Question",21,2019-09-04 14:26:00,"Wednesday","September 4, 2019 2:26 PM","September 4, 2019","2:26 PM",1567621560
"Michael Brennan - NOAA Federal"," ",22,2019-09-04 14:31:00,"Wednesday","September 4, 2019 2:31 PM","September 4, 2019","2:31 PM",1567621860
"Corey Pieper - NOAA Federal","Re: Doctored chart.",23,2019-09-04 14:32:00,"Wednesday","September 4, 2019 2:32 PM","September 4, 2019","2:32 PM",1567621920
"Dennis Feltgen - NOAA Federal","Re: URGENT ABC NEWS Question",24,2019-09-04 14:33:00,"Wednesday","September 4, 2019 2:33 PM","September 4, 2019","2:33 PM",1567621980
"George Jungbluth - NOAA Federal","WH Video w/ NHC Product over AL?",25,2019-09-04 14:36:00,"Wednesday","September 4, 2019 2:36 PM","September 4, 2019","2:36 PM",1567622160
"Althea Lee - NOAA Federal","A Telephone Message",26,2019-09-04 14:36:00,"Wednesday","September 4, 2019 2:36 PM","September 4, 2019","2:36 PM",1567622160
"Lauren Gaches - NOAA Federal","Fwd: WH Video w/ NHC Product over AL?",27,2019-09-04 14:37:00,"Wednesday","September 4, 2019 2:37 PM","September 4, 2019","2:37 PM",1567622220
"Susan Buchanan - NOAA Federal","Re: WH Video w/ NHC Product over AL?",28,2019-09-04 14:38:00,"Wednesday","September 4, 2019 2:38 PM","September 4, 2019","2:38 PM",1567622280
"Julie Roberts - NOAA Federal","graphics",29,2019-09-04 14:38:00,"Wednesday","September 4, 2019 2:38 PM","September 4, 2019","2:38 PM",1567622280
"Jasmine Blackwell - NOAA Federal","Re: WH Video w/ NHC Product over AL?",30,2019-09-04 14:39:00,"Wednesday","September 4, 2019 2:39 PM","September 4, 2019","2:39 PM",1567622340
"Corey Pieper - NOAA Federal","Re: Doctored chart.",31,2019-09-04 14:40:00,"Wednesday","September 4, 2019 2:40 PM","September 4, 2019","2:40 PM",1567622400
"'Julia Reinstein' via _NWS PA","BuzzFeed News inquiry",32,2019-09-04 14:41:00,"Wednesday","September 4, 2019 2:41 PM","September 4, 2019","2:41 PM",1567622460
"Susan Buchanan - NOAA Federal","Fwd: URGENT ABC NEWS Question",33,2019-09-04 14:41:00,"Wednesday","September 4, 2019 2:41 PM","September 4, 2019","2:41 PM",1567622460
"Susan Buchanan - NOAA Federal","Re: WH Video w/ NHC Product over AL?",34,2019-09-04 14:41:00,"Wednesday","September 4, 2019 2:41 PM","September 4, 2019","2:41 PM",1567622460
"Susan Buchanan - NOAA Federal","Fwd: BuzzFeed News inquiry",35,2019-09-04 14:43:00,"Wednesday","September 4, 2019 2:43 PM","September 4, 2019","2:43 PM",1567622580
"Julie Roberts - NOAA Federal","RE: WH Video w/ NHC Product over AL?",36,2019-09-04 14:43:00,"Wednesday","September 4, 2019 2:43 PM","September 4, 2019","2:43 PM",1567622580
"George Jungbluth - NOAA Federal","Re: WH Video w/ NHC Product over AL?",37,2019-09-04 14:44:00,"Wednesday","September 4, 2019 2:44 PM","September 4, 2019","2:44 PM",1567622640
"Julie Roberts - NOAA Federal","RE: WH Video w/ NHC Product over AL?",38,2019-09-04 14:45:00,"Wednesday","September 4, 2019 2:45 PM","September 4, 2019","2:45 PM",1567622700
"Susan Buchanan - NOAA Federal","Re: WH Video w/ NHC Product over AL?",39,2019-09-04 14:45:00,"Wednesday","September 4, 2019 2:45 PM","September 4, 2019","2:45 PM",1567622700
"Christopher Vaccaro - NOAA Federal","Re: URGENT ABC NEWS Question",40,2019-09-04 14:46:00,"Wednesday","September 4, 2019 2:46 PM","September 4, 2019","2:46 PM",1567622760
"George Jungbluth - NOAA Federal","Fwd: WH Video w/ NHC Product over AL?",41,2019-09-04 14:47:00,"Wednesday","September 4, 2019 2:47 PM","September 4, 2019","2:47 PM",1567622820
"NWS Communications Office - NOAA Service Account","Fwd: Request from NBC News",42,2019-09-04 14:52:00,"Wednesday","September 4, 2019 2:52 PM","September 4, 2019","2:52 PM",1567623120
"George Jungbluth - NOAA Federal","Re: URGENT ABC NEWS Question",43,2019-09-04 14:52:00,"Wednesday","September 4, 2019 2:52 PM","September 4, 2019","2:52 PM",1567623120
"George Jungbluth - NOAA Federal","Fwd: URGENT ABC NEWS Question",44,2019-09-04 14:53:00,"Wednesday","September 4, 2019 2:53 PM","September 4, 2019","2:53 PM",1567623180
"Susan Buchanan - NOAA Federal","Re: Request from NBC News",45,2019-09-04 14:55:00,"Wednesday","September 4, 2019 2:55 PM","September 4, 2019","2:55 PM",1567623300
"Susan Buchanan - NOAA Federal","Fwd: Request from NBC News",46,2019-09-04 14:56:00,"Wednesday","September 4, 2019 2:56 PM","September 4, 2019","2:56 PM",1567623360
"NWS PCO - NOAA Service Account","Re: WH Video w/ NHC Product over AL?",47,2019-09-04 14:57:00,"Wednesday","September 4, 2019 2:57 PM","September 4, 2019","2:57 PM",1567623420
"Althea Lee - NOAA Federal","A Telephone Message",48,2019-09-04 14:57:00,"Wednesday","September 4, 2019 2:57 PM","September 4, 2019","2:57 PM",1567623420
"Susan Buchanan - NOAA Federal","Re: WH Video w/ NHC Product over AL?",49,2019-09-04 14:58:00,"Wednesday","September 4, 2019 2:58 PM","September 4, 2019","2:58 PM",1567623480
"Mary Erickson - NOAA Federal","Re: WH Video w/ NHC Product over AL?",50,2019-09-04 15:04:00,"Wednesday","September 4, 2019 3:04 PM","September 4, 2019","3:04 PM",1567623840
"George Jungbluth - NOAA Federal","Re: WH Video w/ NHC Product over AL?",51,2019-09-04 15:05:00,"Wednesday","September 4, 2019 3:05 PM","September 4, 2019","3:05 PM",1567623900
"Dennis Feltgen - NOAA Federal","Fwd: Dorian internal forecast?",52,2019-09-04 15:06:00,"Wednesday","September 4, 2019 3:06 PM","September 4, 2019","3:06 PM",1567623960
"Dennis Feltgen - NOAA Federal","Fwd: Daily Beast reporter, Dorian map",53,2019-09-04 15:07:00,"Wednesday","September 4, 2019 3:07 PM","September 4, 2019","3:07 PM",1567624020
"Christopher Vaccaro - NOAA Federal","DRAFT Response",54,2019-09-04 15:07:00,"Wednesday","September 4, 2019 3:07 PM","September 4, 2019","3:07 PM",1567624020
"Dennis Feltgen - NOAA Service Account","Fwd: Dorian Map",55,2019-09-04 15:08:00,"Wednesday","September 4, 2019 3:08 PM","September 4, 2019","3:08 PM",1567624080
"Scott Smullen - NOAA Federal","Re: DRAFT Response",56,2019-09-04 15:08:00,"Wednesday","September 4, 2019 3:08 PM","September 4, 2019","3:08 PM",1567624080
"Dennis Feltgen - NOAA Service Account","Fwd: President Trump's forecast map",57,2019-09-04 15:09:00,"Wednesday","September 4, 2019 3:09 PM","September 4, 2019","3:09 PM",1567624140
"Dennis Feltgen - NOAA Service Account","Fwd: media inquiry -- Dorian internal forecast",58,2019-09-04 15:10:00,"Wednesday","September 4, 2019 3:10 PM","September 4, 2019","3:10 PM",1567624200
"Dennis Feltgen - NOAA Service Account","Fwd: Los Angeles Times question",59,2019-09-04 15:10:00,"Wednesday","September 4, 2019 3:10 PM","September 4, 2019","3:10 PM",1567624200
"Julie Roberts - NOAA Federal","RE: DRAFT Response",60,2019-09-04 15:10:00,"Wednesday","September 4, 2019 3:10 PM","September 4, 2019","3:10 PM",1567624200
"Julie Roberts - NOAA Federal"," ",61,2019-09-04 15:11:00,"Wednesday","September 4, 2019 3:11 PM","September 4, 2019","3:11 PM",1567624260
"Mary Erickson - NOAA Federal","Re: URGENT ABC NEWS Question",62,2019-09-04 15:16:00,"Wednesday","September 4, 2019 3:16 PM","September 4, 2019","3:16 PM",1567624560
"Chris Franks - NOAA Federal","Re: Doctored chart.",63,2019-09-04 15:21:00,"Wednesday","September 4, 2019 3:21 PM","September 4, 2019","3:21 PM",1567624860
"Jerry Slaff - NOAA Federal","Tweet shows POTUS altering NHC map",64,2019-09-04 15:21:00,"Wednesday","September 4, 2019 3:21 PM","September 4, 2019","3:21 PM",1567624860
"Scott Smullen - NOAA Federal","Re: draft statement on graphic",65,2019-09-04 15:21:00,"Wednesday","September 4, 2019 3:21 PM","September 4, 2019","3:21 PM",1567624860
"Neil Jacobs - NOAA Federal","Re: draft statement on graphic",66,2019-09-04 15:32:00,"Wednesday","September 4, 2019 3:32 PM","September 4, 2019","3:32 PM",1567625520
"Dennis Feltgen - NOAA Service Account","Fwd: President Trump's forecast map",67,2019-09-04 15:34:00,"Wednesday","September 4, 2019 3:34 PM","September 4, 2019","3:34 PM",1567625640
"Scott Smullen - NOAA Federal","Fwd: Los Angeles Times question",68,2019-09-04 15:35:00,"Wednesday","September 4, 2019 3:35 PM","September 4, 2019","3:35 PM",1567625700
"Christopher Vaccaro - NOAA Federal","Collection of inquiries",69,2019-09-04 15:41:00,"Wednesday","September 4, 2019 3:41 PM","September 4, 2019","3:41 PM",1567626060
"Chris Darden - NOAA Federal","Media Inquiries - Dorian",70,2019-09-04 15:46:00,"Wednesday","September 4, 2019 3:46 PM","September 4, 2019","3:46 PM",1567626360
"Christopher Vaccaro - NOAA Federal","Re: draft statement on graphic",71,2019-09-04 15:47:00,"Wednesday","September 4, 2019 3:47 PM","September 4, 2019","3:47 PM",1567626420
"Christopher Vaccaro - NOAA Federal","CWG: President Trump shows doctored hurricane chart. Was it to cover up for ‘Alabama’ Twitter flub?",72,2019-09-04 15:49:00,"Wednesday","September 4, 2019 3:49 PM","September 4, 2019","3:49 PM",1567626540
"Dennis Feltgen - NOAA Service Account","Fwd: Media inquiry from Washington Examiner",73,2019-09-04 15:51:00,"Wednesday","September 4, 2019 3:51 PM","September 4, 2019","3:51 PM",1567626660
"Julie Roberts - NOAA Federal","FW: Remarks by President Trump in Briefing on Hurricane Dorian",74,2019-09-04 15:52:00,"Wednesday","September 4, 2019 3:52 PM","September 4, 2019","3:52 PM",1567626720
"Susan Buchanan - NOAA Federal","CWG on sharpie cone extension",75,2019-09-04 15:57:00,"Wednesday","September 4, 2019 3:57 PM","September 4, 2019","3:57 PM",1567627020
"Christopher Vaccaro - NOAA Federal","Fwd: WH Video w/ NHC Product over AL?",76,2019-09-04 15:58:00,"Wednesday","September 4, 2019 3:58 PM","September 4, 2019","3:58 PM",1567627080
"Christopher Vaccaro - NOAA Federal","Fwd: CNN",77,2019-09-04 16:01:00,"Wednesday","September 4, 2019 4:01 PM","September 4, 2019","4:01 PM",1567627260
"Althea Lee - NOAA Federal","The following telephone messages...",78,2019-09-04 16:04:00,"Wednesday","September 4, 2019 4:04 PM","September 4, 2019","4:04 PM",1567627440
"Christopher Vaccaro - NOAA Federal","Re: The following telephone messages...",79,2019-09-04 16:05:00,"Wednesday","September 4, 2019 4:05 PM","September 4, 2019","4:05 PM",1567627500
"Julie Roberts - NOAA Federal","FW: NOAA Statement",80,2019-09-04 16:08:00,"Wednesday","September 4, 2019 4:08 PM","September 4, 2019","4:08 PM",1567627680
"NWS Communications Office - NOAA Service Account","Fwd: FW: Associated Press Time Sensitive Inquiry",81,2019-09-04 16:09:00,"Wednesday","September 4, 2019 4:09 PM","September 4, 2019","4:09 PM",1567627740
"NWS Communications Office - NOAA Service Account","Fwd: Question on Dorian map used by the president in a briefing today",82,2019-09-04 16:10:00,"Wednesday","September 4, 2019 4:10 PM","September 4, 2019","4:10 PM",1567627800
"Susan Buchanan - NOAA Federal","Re: FW: Associated Press Time Sensitive Inquiry",83,2019-09-04 16:14:00,"Wednesday","September 4, 2019 4:14 PM","September 4, 2019","4:14 PM",1567628040
"Althea Lee - NOAA Federal","Re: The following telephone messages...Pt2",84,2019-09-04 16:23:00,"Wednesday","September 4, 2019 4:23 PM","September 4, 2019","4:23 PM",1567628580
"Julie Roberts - NOAA Federal","Re: The following telephone messages...Pt2",85,2019-09-04 16:24:00,"Wednesday","September 4, 2019 4:24 PM","September 4, 2019","4:24 PM",1567628640
"Althea Lee - NOAA Federal","Re: The following telephone messages...Pt2",86,2019-09-04 16:25:00,"Wednesday","September 4, 2019 4:25 PM","September 4, 2019","4:25 PM",1567628700
"Katherine Brogan - NOAA Federal","Alabama reporters",87,2019-09-04 16:27:00,"Wednesday","September 4, 2019 4:27 PM","September 4, 2019","4:27 PM",1567628820
"George Jungbluth - NOAA Federal","Fwd: WH Video w/ NHC Product over AL?",88,2019-09-04 16:51:00,"Wednesday","September 4, 2019 4:51 PM","September 4, 2019","4:51 PM",1567630260
"Robert Nadeau - NOAA Federal","Re: Please do not respond to inquiry on this. Forward the reporter's email ...",89,2019-09-04 17:09:00,"Wednesday","September 4, 2019 5:09 PM","September 4, 2019","5:09 PM",1567631340
"Julie Roberts - NOAA Federal","RE: Please do not respond to inquiry on this. Forward the reporter's email ...",90,2019-09-04 17:16:00,"Wednesday","September 4, 2019 5:16 PM","September 4, 2019","5:16 PM",1567631760
"Julie Roberts - NOAA Federal","RE: Reminder of my two doc appts tomorrow",91,2019-09-04 17:24:00,"Wednesday","September 4, 2019 5:24 PM","September 4, 2019","5:24 PM",1567632240
"NWS Communications Office - NOAA Service Account","Fwd: CBS News Inquiry",92,2019-09-04 17:59:00,"Wednesday","September 4, 2019 5:59 PM","September 4, 2019","5:59 PM",1567634340
"NWS Communications Office - NOAA Service Account","Fwd: Question on Dorian map used by the president in a briefing today",93,2019-09-04 17:59:00,"Wednesday","September 4, 2019 5:59 PM","September 4, 2019","5:59 PM",1567634340
"NWS Communications Office - NOAA Service Account","Fwd: Regarding Alabama and Hurricane Dorian",94,2019-09-04 18:00:00,"Wednesday","September 4, 2019 6:00 PM","September 4, 2019","6:00 PM",1567634400
"Susan Buchanan - NOAA Federal","Re: CBS News Inquiry",95,2019-09-04 18:00:00,"Wednesday","September 4, 2019 6:00 PM","September 4, 2019","6:00 PM",1567634400
"Lauren Gaches - NOAA Federal","CBS News Inquiry",96,2019-09-04 18:00:00,"Wednesday","September 4, 2019 6:00 PM","September 4, 2019","6:00 PM",1567634400
"Susan Buchanan - NOAA Federal","Fwd: CBS News Inquiry",97,2019-09-04 18:00:00,"Wednesday","September 4, 2019 6:00 PM","September 4, 2019","6:00 PM",1567634400
"Lauren Gaches - NOAA Federal","Fwd: Regarding Alabama and Hurricane Dorian",98,2019-09-04 18:01:00,"Wednesday","September 4, 2019 6:01 PM","September 4, 2019","6:01 PM",1567634460
"Susan Buchanan - NOAA Federal","Fwd: Regarding Alabama and Hurricane Dorian",99,2019-09-04 18:01:00,"Wednesday","September 4, 2019 6:01 PM","September 4, 2019","6:01 PM",1567634460
"Susan Buchanan - NOAA Federal","Fwd: Question on Dorian map used by the president in a briefing today",100,2019-09-04 18:01:00,"Wednesday","September 4, 2019 6:01 PM","September 4, 2019","6:01 PM",1567634460
"Jasmine Blackwell - NOAA Federal","Fwd: Question on Dorian map used by the president in a briefing today",101,2019-09-04 18:05:00,"Wednesday","September 4, 2019 6:05 PM","September 4, 2019","6:05 PM",1567634700
"Christopher Vaccaro - NOAA Federal","Fwd: Please do not respond to inquiry on this. Forward the reporter's email ...",102,2019-09-04 18:13:00,"Wednesday","September 4, 2019 6:13 PM","September 4, 2019","6:13 PM",1567635180
"Erica Rule - NOAA Federal","Re: Please do not respond to inquiry on this. Forward the reporter's email ...",103,2019-09-04 18:18:00,"Wednesday","September 4, 2019 6:18 PM","September 4, 2019","6:18 PM",1567635480
"Christopher Vaccaro - NOAA Federal","Re: Ken’s on-air tomorrow?",104,2019-09-04 19:06:00,"Wednesday","September 4, 2019 7:06 PM","September 4, 2019","7:06 PM",1567638360
"Christopher Vaccaro - NOAA Federal","Another Tweet",105,2019-09-04 19:19:00,"Wednesday","September 4, 2019 7:19 PM","September 4, 2019","7:19 PM",1567639140
"Dennis Feltgen - NOAA Service Account","Fwd: Concerning President Trump's Dorian Statement",106,2019-09-04 21:09:00,"Wednesday","September 4, 2019 9:09 PM","September 4, 2019","9:09 PM",1567645740
"makeda.okolo@noaa.gov","Have you all seen this?!",107,2019-09-05 07:13:00,"Thursday","September 5, 2019 7:13 AM","September 5, 2019","7:13 AM",1567681980
"Benjamin Friedman - NOAA Federal","Re: Have you all seen this?!",108,2019-09-05 08:01:00,"Thursday","September 5, 2019 8:01 AM","September 5, 2019","8:01 AM",1567684860
"Joel Cline - NOAA Federal","Fwd: LiveScience/Trump's doctored hurricane map",109,2019-09-05 08:55:00,"Thursday","September 5, 2019 8:55 AM","September 5, 2019","8:55 AM",1567688100
"David Miller","Social media reaction",110,2019-09-05 09:22:00,"Thursday","September 5, 2019 9:22 AM","September 5, 2019","9:22 AM",1567689720
"Dennis Feltgen - NOAA Service Account","Fwd: Hurricane Dorian",111,2019-09-05 10:15:00,"Thursday","September 5, 2019 10:15 AM","September 5, 2019","10:15 AM",1567692900
"Kristin Brown - NOAA Federal","Re: Please do not respond to inquiry on this. Forward the reporter's email ...",112,2019-09-05 10:51:00,"Thursday","September 5, 2019 10:51 AM","September 5, 2019","10:51 AM",1567695060
"Louis Uccellini - NOAA Federal","Fwd: Forecast uncertainty in TC Dorian's turn to the north",113,2019-09-05 12:14:00,"Thursday","September 5, 2019 12:14 PM","September 5, 2019","12:14 PM",1567700040
"Craig McLean - NOAA Federal","Out of Office Re: Fwd: Forecast uncertainty in TC Dorian's turn to the north",114,2019-09-05 12:14:00,"Thursday","September 5, 2019 12:14 PM","September 5, 2019","12:14 PM",1567700040
"Louis Uccellini - NOAA Federal","Fwd: Forecast uncertainty in TC Dorian's turn to the north",115,2019-09-05 12:14:00,"Thursday","September 5, 2019 12:14 PM","September 5, 2019","12:14 PM",1567700040
"John Jones-Bateman - NOAA Federal","The Washington Post: Trump roasted for altered Hurricane Dorian map",116,2019-09-05 12:29:00,"Thursday","September 5, 2019 12:29 PM","September 5, 2019","12:29 PM",1567700940
"Chris Darden - NOAA Federal","Fwd: Followup to Today's Social Media/Public Inquiries",117,2019-09-05 12:32:00,"Thursday","September 5, 2019 12:32 PM","September 5, 2019","12:32 PM",1567701120
"Chris Darden - NOAA Federal","Fwd: Followup to Today's Social Media/Public Inquiries",118,2019-09-05 12:32:00,"Thursday","September 5, 2019 12:32 PM","September 5, 2019","12:32 PM",1567701120
"John Leslie - NOAA Federal","Re: The Washington Post: Trump roasted for altered Hurricane Dorian map",119,2019-09-05 12:47:00,"Thursday","September 5, 2019 12:47 PM","September 5, 2019","12:47 PM",1567702020
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",120,2019-09-05 12:51:00,"Thursday","September 5, 2019 12:51 PM","September 5, 2019","12:51 PM",1567702260
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",121,2019-09-05 12:51:00,"Thursday","September 5, 2019 12:51 PM","September 5, 2019","12:51 PM",1567702260
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",122,2019-09-05 12:55:00,"Thursday","September 5, 2019 12:55 PM","September 5, 2019","12:55 PM",1567702500
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",123,2019-09-05 12:55:00,"Thursday","September 5, 2019 12:55 PM","September 5, 2019","12:55 PM",1567702500
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",124,2019-09-05 12:58:00,"Thursday","September 5, 2019 12:58 PM","September 5, 2019","12:58 PM",1567702680
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",125,2019-09-05 12:58:00,"Thursday","September 5, 2019 12:58 PM","September 5, 2019","12:58 PM",1567702680
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",126,2019-09-05 13:01:00,"Thursday","September 5, 2019 1:01 PM","September 5, 2019","1:01 PM",1567702860
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",127,2019-09-05 13:01:00,"Thursday","September 5, 2019 1:01 PM","September 5, 2019","1:01 PM",1567702860
"Louis Uccellini","Fwd: Invitation to this Sunday's ""Reliable Sources"" on CNN",128,2019-09-05 15:16:00,"Thursday","September 5, 2019 3:16 PM","September 5, 2019","3:16 PM",1567710960
"Maureen O'Leary - NOAA Federal","Re: Invitation to this Sunday's ""Reliable Sources"" on CNN",129,2019-09-05 15:22:00,"Thursday","September 5, 2019 3:22 PM","September 5, 2019","3:22 PM",1567711320
"Maureen O'Leary - NOAA Federal","Fwd: Invitation to this Sunday's ""Reliable Sources"" on CNN",130,2019-09-05 15:24:00,"Thursday","September 5, 2019 3:24 PM","September 5, 2019","3:24 PM",1567711440
"Christopher Vaccaro - NOAA Federal","Re: Invitation to this Sunday's ""Reliable Sources"" on CNN",131,2019-09-05 15:28:00,"Thursday","September 5, 2019 3:28 PM","September 5, 2019","3:28 PM",1567711680
"Christopher Vaccaro - NOAA Federal","Fwd: Invitation to this Sunday's ""Reliable Sources"" on CNN",132,2019-09-05 15:29:00,"Thursday","September 5, 2019 3:29 PM","September 5, 2019","3:29 PM",1567711740
"Dennis Feltgen - NOAA Federal","Fwd: Invitation to this Sunday's ""Reliable Sources"" on CNN",133,2019-09-05 15:30:00,"Thursday","September 5, 2019 3:30 PM","September 5, 2019","3:30 PM",1567711800
"Christopher Vaccaro - NOAA Federal","Fwd: Invitation to this Sunday's ""Reliable Sources"" on CNN",134,2019-09-05 15:45:00,"Thursday","September 5, 2019 3:45 PM","September 5, 2019","3:45 PM",1567712700
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",135,2019-09-05 16:27:00,"Thursday","September 5, 2019 4:27 PM","September 5, 2019","4:27 PM",1567715220
"Christopher Vaccaro - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",136,2019-09-05 16:27:00,"Thursday","September 5, 2019 4:27 PM","September 5, 2019","4:27 PM",1567715220
"Julie Roberts - NOAA Federal","FW: New Tweet... w/ NHC products from last Thursday/Friday",137,2019-09-05 16:34:00,"Thursday","September 5, 2019 4:34 PM","September 5, 2019","4:34 PM",1567715640
"Neil Jacobs - NOAA Federal","Fwd:",138,2019-09-05 16:39:00,"Thursday","September 5, 2019 4:39 PM","September 5, 2019","4:39 PM",1567715940
"Julie Roberts - NOAA Federal","RE: New Tweet... w/ NHC products from last Thursday/Friday",139,2019-09-05 16:42:00,"Thursday","September 5, 2019 4:42 PM","September 5, 2019","4:42 PM",1567716120
"Christopher Vaccaro - NOAA Federal","Statement",140,2019-09-05 17:00:00,"Thursday","September 5, 2019 5:00 PM","September 5, 2019","5:00 PM",1567717200
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",141,2019-09-05 17:25:00,"Thursday","September 5, 2019 5:25 PM","September 5, 2019","5:25 PM",1567718700
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",142,2019-09-05 17:25:00,"Thursday","September 5, 2019 5:25 PM","September 5, 2019","5:25 PM",1567718700
"Christopher Vaccaro - NOAA Federal","Do we need to ask NWS...",143,2019-09-05 17:29:00,"Thursday","September 5, 2019 5:29 PM","September 5, 2019","5:29 PM",1567718940
"Julie Roberts - NOAA Federal","RE: Do we need to ask NWS...",144,2019-09-05 17:31:00,"Thursday","September 5, 2019 5:31 PM","September 5, 2019","5:31 PM",1567719060
"Scott Smullen - NOAA Federal","Re: Do we need to ask NWS...",145,2019-09-05 17:33:00,"Thursday","September 5, 2019 5:33 PM","September 5, 2019","5:33 PM",1567719180
"Julie Roberts - NOAA Federal","RE: Statement",146,2019-09-05 17:40:00,"Thursday","September 5, 2019 5:40 PM","September 5, 2019","5:40 PM",1567719600
"Chris Darden - NOAA Federal","Re: Followup to Today's Social Media/Public Inquiries",147,2019-09-05 17:45:00,"Thursday","September 5, 2019 5:45 PM","September 5, 2019","5:45 PM",1567719900
"Julie Roberts - NOAA Federal","FW: In town pool #5: Statement on Alabama, Dorian",148,2019-09-05 17:51:00,"Thursday","September 5, 2019 5:51 PM","September 5, 2019","5:51 PM",1567720260
"Julie Roberts - NOAA Federal","Homeland Security Advisory Statement on Alabama, Dorian",149,2019-09-05 17:53:00,"Thursday","September 5, 2019 5:53 PM","September 5, 2019","5:53 PM",1567720380
