URL,Date of Notice,Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name,Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification
https://labor.ny.gov/app/warn/details.asp?id=8253,4/16/2020                          Amendment: 4/23/2020,2019-1465,Stuart Goldberg,Temporary Plant Layoff,"      Allied Aviation Services Inc. 266 West 37th Street,3rd Floor,Suite 302 New York,NY 10018",New York,NEW YORK CITY,New York City," Alice R. Nicholas,Director Human Resources",(626) 318-4120,Airline Services,2.0,,4/16/2020 (1); 4/24/2020 (1),,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8254,4/13/2020,2019-1471," Jacqueline Huertas,Karl Price,Regenna Darrah,Frederick Danks,Stuart Goldberg,Elias Flores,Michele Taylor",Temporary Plant Closing,"      Bed Bath & Beyond (Capital Region) Store #7019,1425 Central Ave,Unit 242 Albany,NY 12205",Albany,ERIE,Western," Angela Leary,Paralegal",(908) 855-4563,Miscellaneous Home Furnishings Store,116.0," 1,893 (Total affected employees at all sites)",Furloughs will occur on 4/4/2020.,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,11-2250488,The employees are not represented by a union.,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8255,4/20/2020,2019-1508,Stuart Goldberg,Temporary Plant Layoff,"      Enterprise Holdings dba National and Alamo Rental Car 743 BroadwayNew York,NY 10003",New York/Queens,NEW YORK CITY,New York City," Celestine Crivaro,Human Resources Manager",(929) 372-7860,Rental Car,71.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,," United Construction Trades and Industrial Employees Union,Garage Employees Local Union 272-IBT",Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8256,4/8/2020                           Amendment: 4/17/2020,2019-1214,Frederick Danks,Temporary Plant Closing,"      Westbury Manor Enterprises Inc. 1100 Jericho Turnpike Westbury,NY 11590",Nassau,HEMPSTEAD,Long Island," Jerry Scotto,General Manager",(516) 333-7117,Restaurant,119.0,119,3/22/2020 (111); 4/17/2020 (8),3/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8257,3/27/2020                              Rescission: 4/17/2020,2019-1029,Stuart Goldberg,Temporary Plant Layoff,"      Fred Smith Plumbing & Heating 1674 First Avenue New York,NY 10128",New York,NEW YORK CITY,New York City," Preston Kraus,President",(212) 744-1300,Plumbing and Heating,74.0,," 3/23/2020 – Employees have been reinstated effective April 15,2020.",,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8258,4/23/2020,2019-1511,Frederick Danks,Temporary Plant Closing,"      PQ New York Inc. dba Le Pain Quotidien(151 LPQ Garden City,Inc.) 630 Old Country RoadRoom 1024B Garden City,NY 11530",Nassau,HEMPSTEAD,Long Island," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurant,27.0,27,Separation of employees occurred on 3/22/2020 through 4/20/2020.,3/20/2020 (Closing may become permanent),Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8259,4/23/2020,2019-1512,Elias Flores,Temporary Plant Closing,"      PQ New York Inc. dba Le Pain Quotidien402 PQ Rye,Inc. Rye,NY 10580",Westchester,ORANGE,Mid-Hudson," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurants,23.0,42 (total affected employees for both sites),Separation of employees occurred on 3/22/2020 through 4/20/2020.,3/20/2020 (Closing may become permanent),Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8260,4/23/2020,2019-1510,Stuart Goldberg,Temporary Plant Closing,    PQ New York Inc. dba Le Pain Quotidien (29 New York City sites),New York/Kings,NEW YORK CITY,New York City," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurants,678.0,678 (total affected at all sites),Separation of employees occurred on 3/22/2020 through 4/20/2020.,Closings occurred between 3/17/2020 and 3/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8231,3/30/2020,2019-1482,Stuart Goldberg,Temporary Plant Layoff,"      Peninsula Hotel New York,LLC 700 5th Avenue New York,NY 10019",New York,NEW YORK CITY,New York City," Michael Ammiano,Director of Human Resources",(212) 903-3912,Hotel,459.0,,3/29/2020,,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO and UNITE HERE",Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8232,4/22/2020,2019-1484,Stuart Goldberg,Temporary Plant Layoff,"      Deluxe Creative Services,Inc. 44 West 18th Street New York,NY 10011",New York,NEW YORK CITY,New York City," Louis Brahms,Manager,Human Resources",(747) 400-7986,Visual Effects and Post Production Services,19.0,,3/25/2020 – 4/19/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8233,4/23/2020,2019-1485,Stuart Goldberg,Temporary Plant Layoff,"      Deluxe Creative Services,Inc. 218 West 18th Street New York,NY 10011",New York,NEW YORK CITY,New York City," Louis Brahms,Manager,Human Resources",(747) 400-7986,Visual Effects and Post Production Services,66.0,,3/25/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8234,2/19/2020                              Amendment: 4/15/2020,2019-0307,Stuart Goldberg,Plant Layoff,"      CBRE 275 7th Avenue,17th Floor New York,NY 10011",New York,,New York City," Tamme Gaddis,SHRM-SCP,Business Partner",(214) 438-8850,Commercial Real Estate Services,46.0,57,Separations for 40 employees will occur on 5/22/2020. An additional 6 employees will be separated effective 7/15/2020.,,Reduction in workload due to a change in business priorities.,95-2743174,The employees are not represented by a union.,Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8235,4/9/2020                               Amendment: 4/17/2020,2019-1247,Mike Clark,Temporary Plant Layoff,"      Slocum Dickson Medical Group,PLLC 1729 Burrstone Road New Hartford,NY 13413",Oneida,HMO,Mohawk Valley," Frank Servadio,Director of Human Resources",(315) 624-1962,Medical Facility,42.0,,32 employees were separated on 4/3/2020. An additional 10 employees have been temporarily separated effective 4/17/2020.,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8236,4/17/2020,2019-1480,Stuart Goldberg,Plant Layoff,"      One Kings Lane 250 Hudson Street,11th Floor New York,NY 10013",New York,NEW YORK CITY,New York City," Jess Taylor,HR Manager",(212) 430-7612,Interior Design,16.0,------,4/16/2020 and 4/17/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8237,1/24/2020                               Amendment: 4/7/2020,2019-0252," Stuart Goldberg,Elias Flores and Frederick Danks",Possible Plant Layoff,"Fairway Group Holdings Corp.Harlem2328 12th AvenueNew York,NY 10027",New York,OYSTER BAY,Long Island," Charles J. Farfaglia,Senior Vice President Human Resources",(646) 616-8090,Grocery Store,165.0," 2,479 affected for all 14 sites"," Layoffs that may happen at the Corporate Office will occur between 4/8/2020 and 5/7/2020. Due to delays relating to the Company’s efforts to sell the Red Hook,Douglaston,Westbury,and Plainview stores,the company expects layoffs to occur between 5/1/2020 and 5/15/2020.",,Economic,20-5948719," UFCW,Local 1500; UFCW,Local 1262; UFCW,Local 371",Possible Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8238,3/27/2020,2019-1486,Stuart Goldberg,Temporary Plant Layoff,"      F21 OpCo,LLC dba Forever 21 435 Seventh Avenue New York,NY 10120",New York,NEW YORK CITY,New York City," Erica Chang,Senior Manager,Global Stores HR",(213) 765-2966,Retail Store,429.0,,3/29/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8239,4/22/2020,2019-1478,Jackie Huertas,Temporary Reduction in Work Hours,"      Anesthesia Group of Albany,P.C. 1450 Western Avenue,Suite 102 Albany,NY 12203",Albany,CAPITAL DISTRICT,Capital," Kevin Wilson,COO",(518) 463-0050 Ext: 101,Health Care,95.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Reduction in Work Hours
https://labor.ny.gov/app/warn/details.asp?id=8240,4/24/2020,2019-1481,Regenna Darrah,Plant Closing,"      Semiconductor Components Industries LLC dba ON Semiconductor 1964 Lake Avenue Rochester,NY 14615",Monroe,MONROE,Finger Lakes,Karen Gaige,(585) 784-5519," Wafer fab,assembly,and test operations",104.0,,7/30/2020 and 10/30/2020,,Economic,,The employees are not represented by a union,Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8224,4/14/2020,2019-1462,Frederick Danks,Temporary Plant Layoff,"      Imagine Early Learning Centers 7 Willowdale Avenue Pt. Washington,NY 11050",Nassau/Suffolk,SUFFOLK,Long Island," Josephine Wong,Human Resources Director",(718) 960-8553,School,33.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union. Non Union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8225,4/22/2020,2019-1461,Frederick Danks,Temporary Plant Layoff,"      Quincy Compressor,LLC 87 East Jefryn Blvd.,Unit B Deer Park,NY 11729",Suffolk,SUFFOLK,Long Island," Kim Stillman,Human Resources Manager",(973) 606-8217,Air Compressor Manufacturer,20.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8226,4/21/2020,2019-1460,Stuart Goldberg,Plant Closing,"      Highgate Hotels,L.P. dba The Maxwell Hotel NYC 541 Lexington Avenue New York,NY 10022",New York,NEW YORK CITY,New York City," Brendan Moraes,Managing Director",(212) 407-2915,Hotel,397.0,397,4/25/2020,4/25/2020,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO",Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8227,4/3/2020,2019-1470,Frederick Danks,Plant Layoff,"      Mid Rockland Imaging Partners,Inc. (Several sites in Long Island)",Suffolk/Nassau,SUFFOLK-OYSTER BAY,Long Island," Catherine Ryerson,HR Director - Northeast Region",(302) 533-2102,Diagnostic Imaging Center,18.0,,Layoffs occurred between 3/25/2020 and 4/1/2020.,,Unforeseeable business circumstances prompted by COVID-19,13-3967044,The employees are not represented by a union.,Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8228,4/3/2020,2019-1469,Stuart Goldberg,Plant Layoff,"      Mid Rockland Imaging Partners,Inc. (Several sites in NYC)",New York/Kings/Queens/Bronx/,,New York City," Catherine Ryerson,HR Director - Northeast Region",(302) 533-2102,Diagnostic Imaging Center,74.0,,Layoffs occurred between 3/25/2020 and 4/1/2020.,,Unforeseeable business circumstances prompted by COVID-19,13-3967044,The employees are not represented by a union.,Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8229,4/22/2020,2019-1479,Stuart Goldberg,Temporary Plant Layoff/Plant Layoff,"      Action Environmental Systems,LLC 920 132nd Street Bronx,NY 10454",Bronx,NEW YORK CITY,New York City," Osa Willis,Director of Human Resources",(973) 286-7064,Waste Services and Material Recycling,55.0,,4/1/2020,,Unforeseeable business circumstances prompted by COVID-19,," Waste Material Recycling and General Industrial Laborers Local 108,L.I.U.N.A.,AFL-CIO",Temporary Plant Layoff/Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8230,4/3/2020,2019-1487,Stuart Goldberg,Temporary Plant Layoff,"      Global Operations Security Services,Inc. 54 W. 39th Street,5th Floor New York,NY 10018",New York,NEW YORK CITY,New York City," Amit Levi,Esq.,Executive Vice President and General Counsel",(917) 400-4109,Security Services,115.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8179,4/17/2020,2019-1416,Stuart Goldberg,Temporary Plant Closing,"      144 PQ 97th Street,Inc. 1399 Madison Avenue New York,NY 10029",New York,NEW YORK CITY,New York City," Kaelin Birkenhead,Chief of Staff,People + Culture",(646) 553-1323,Restaurant,32.0,32,3/20/2020,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8180,3/17/2020,2019-1415,Stuart Goldberg,Temporary Plant Closing,"      Tacombi 265 Bowery New York,NY 10002",New York/Kings,NEW YORK CITY,New York City," Delia Rojas,Director of Human Resources",(570) 751-6882,Restaurant,357.0,357,3/17/2020,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8181,4/17/2020,2019-1428,Stuart Goldberg,Temporary Plant Layoff,"      Wolf on Broadway LLC dba Wolfgang's Steakhouse 1359 Broadway New York,NY 10018",New York,NEW YORK CITY,New York City," Peter Zwiener,Partner",(646) 642-4655,Restaurant,67.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8182,4/17/2020,2019-1426,Stuart Goldberg,Temporary Plant Closing,"      Wolf Westside LLC dba Wolfgang's Steakhouse 250 West 41st Street New York,NY 10018",New York,NEW YORK CITY,New York City," Peter Zwiener,Partner",(646) 642-4655,Restaurant,76.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8183,4/17/2020,2019-1430,Stuart Goldberg,Temporary Plant Closing,"      The Surrey Hotel 20 E. 76th Street New York,NY 10021",New York,NEW YORK CITY,New York City," Claes Landberg,General Manager",(646) 358-3605,Hotel,110.0,110,3/24/2020,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO",Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8184,4/17/2020,2019-1427,Regenna Darrah,Temporary Plant Layoff,"      Aludyne New York 4320 Federal Drive Batavia,NY 14020",Genesee,GLOW,Finger Lakes," Douglas J. Smith,Plant Manager",(585) 815-1726,Manufacturing,103.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,," UAW Union,Local 481",Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8185,3/25/2020,2019-1442,Stuart Goldberg,Temporary Plant Closing,"      Funburger Corporation dba Curry-Ya 1467 Amsterdam Ave New York,NY 10027",New York,NEW YORK CITY,New York City," Sakura Yagi,COO",(212) 228-3030,Restaurant,,,3/20/2020,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8186,4/8/2020,2019-1441,Stuart Goldberg,Temporary Plant Layoff,"      Major Dough Soho 463 LLC 463 W Broadway New York,NY 10012",New York,NEW YORK CITY,New York City," Kutina Ruhumbika,Vice President of Human Resources",-----,Restaurant,68.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8187,4/17/2020,2019-1440,Stuart Goldberg,Temporary Plant Layoff,"      BC Hospitality Group LLC 205 Hudson Street,Suite 1001 New York,NY 10013",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,3.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,35-2519360,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8188,4/17/2020,2019-1439,Stuart Goldberg,Temporary Plant Layoff,"      E2 60 West 22nd Street LLC 60 W 22nd Street New York,NY 10010",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,24.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,30-0879567,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8189,4/17/2020,2019-1438,Stuart Goldberg,Temporary Plant Layoff,"      E2 185 Bleecker LLC 185 Bleecker St. New York,NY 10012",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,21.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,64-1746862,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8190,4/17/2020,2019-1437,Stuart Goldberg,Temporary Plant Layoff,"      BC 1385 Broadway LLC 1385 Broadway New York,NY 10003",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,15.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,83-2182138,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8191,4/17/2020,2019-1436,Stuart Goldberg,Temporary Plant Layoff,"      CW SSS LLC 181 Front Street New York,NY 10038",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,16.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,81-2449958,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8192,4/17/2020,2019-1435,Stuart Goldberg,Temporary Plant Layoff,"      E2 Lafayette LLC 240 Lafayette St. New York,NY 10012",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,24.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,37-179749,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8193,4/17/2020,2019-1433,Stuart Goldberg,Temporary Plant Closing,"      BC Union Square LLC 30 E. 16th Street New York,NY 10003",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,18.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,61-1885172,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8194,4/17/2020,2019-1432,Stuart Goldberg,Temporary Plant Closing,"      BC 630 Lexington LLC 630 Lexington Avenue New York,NY 10022",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,12.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,83-4603202,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8195,4/17/2020,2019-1431,Stuart Goldberg,Temporary Plant Layoff,"      BCRC LLC 1 Rockefeller Plaza New York,NY 10020",New York,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,26.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,81-2747297,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8196,4/17/2020,2019-1434,Stuart Goldberg,Temporary Plant Layoff,"      BC Williamsburg LLC 171 N. 3rd Street Brooklyn,NY 11211",Kings,NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,17.0,,3/23/2020,,EconomicUnforeseeable business circumstances prompted by COVID-19,81-1568277,The employees are not represented by a union,Temporary Plant Layoff
https://labor.ny.gov/app/warn/details.asp?id=8197,4/17/2020,2019-1429,Stuart Goldberg,Plant Closing,"      Zaro's Family Bakery 138 Bruckner Blvd. Bronx,NY 10454",Bronx,NEW YORK CITY,New York City," Michael Zaro,President",(917) 792-2685,Bakery,64.0,64,7/19/2020,7/19/2020,Relocation,," The Bakery,Confectionary,Tobacco Workers & Grain Millers Union,Local 53 or Teamsters Local 805 Union",Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8198,4/17/2020,2019-1455,Stuart Goldberg,Temporary Plant Closing,"      MBRP Restaurant Inc. 1454 2nd Avenue New York,NY 10021",New York,NEW YORK CITY,New York City," Jennifer Kay,Human Resources",(212) 737-9391 Ext: 6,Restaurant,89.0,89,3/16/2020,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8199,4/17/2020,2019-1456,Stuart Goldberg,Temporary Plant Closing,"      Mirabi Inc. dba Down The Hatch 179-175 West 4th Street New York,NY 10014",New York,NEW YORK CITY,New York City," Jennifer Kay,Human Resources",(212) 737-9391 Ext: 6,Restaurant,19.0,19,3/16/2020,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8200,4/17/2020,2019-1453,Stuart Goldberg,Temporary Plant Closing,"      442 Amsterdam Ave. Rest. Corp. dba The Gin Mill 442 Amsterdam Ave. New York,NY 10024",New York,NEW YORK CITY,New York City," Jennifer Kay,Human Resources",(212) 737-9391 Ext: 6,Restaurant,32.0,32,3/16/2020,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
https://labor.ny.gov/app/warn/details.asp?id=8201,4/17/2020,2019-1454,Stuart Goldberg,Temporary Plant Closing,"      Third Ave. Restaurant Inc. dba Jake's Dilemma 430 Amsterdam Avenue New York,NY 10024",New York,NEW YORK CITY,New York City," Jennifer Kay,Human Resources",(212) 737-9391 Ext: 6,Restaurant,26.0,26,3/16/2020,3/16/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing
