URL,Date of Notice,Event Number,Rapid Response Specialist,Reason Stated for Filing,County,Company,Address,WDB Name,Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Latitude,Longitude,Geocoded NY,Geocoded,Cleaned Layoff Date
https://labor.ny.gov/app/warn/details.asp?id=8251,3/27/2020,2019-1507,Stuart Goldberg,Temporary Plant Layoff,New York,Production Glue LLC & Department of Events LLC,"252 W. 37th Street, Floor 7  New York, NY 10018",NEW YORK CITY,New York City," Jon Migdal,General Manager",(917) 304-3124,Event Company,25.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.753681,-73.99135799999998,True,"252 West 37th Street, New York, New York 10018, United States",2020-03-27
https://labor.ny.gov/app/warn/details.asp?id=8252,4/21/2020,2019-1503,Michele Taylor,Temporary Plant Layoff,Niagara,"Hard Rock Café International USA, Inc., Hard Rock Café Niagara Falls","333 Prospect St.  Niagara Falls, NY 14303",NIAGARA,Western,Julissa Cabrera,(954) 797-5478,Restaurant,58.0,,4/13/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,43.086732,-79.064159,True,"333 Prospect Street, Niagara Falls, New York 14303, United States",2020-04-13
https://labor.ny.gov/app/warn/details.asp?id=8253,4/16/2020                          Amendment: 4/23/2020,2019-1465,Stuart Goldberg,Temporary Plant Layoff,New York,Allied Aviation Services Inc.,"266 West 37th Street, 3rd Floor, Suite 302  New York, NY 10018",NEW YORK CITY,New York City," Alice R. Nicholas,Director Human Resources",(626) 318-4120,Airline Services,2.0,,4/16/2020 (1); 4/24/2020 (1),,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.75387,-73.991813,True,"266 West 37th Street, New York, New York 10018, United States",2020-04-16
https://labor.ny.gov/app/warn/details.asp?id=8254,4/13/2020,2019-1471," Jacqueline Huertas,Karl Price,Regenna Darrah,Frederick Danks,Stuart Goldberg,Elias Flores,Michele Taylor",Temporary Plant Closing,Albany,Bed Bath & Beyond (Capital Region),"Store #7019, 1425 Central Ave, Unit 242  Albany, NY 12205",ERIE,Western," Angela Leary,Paralegal",(908) 855-4563,Miscellaneous Home Furnishings Store,116.0," 1,893 (Total affected employees at all sites)",Furloughs will occur on 4/4/2020.,4/4/2020,Unforeseeable business circumstances prompted by COVID-19,11-2250488,The employees are not represented by a union.,Temporary Plant Closing,42.707232,-73.820687,True,"1425 Central Avenue, Albany, New York 12205, United States",2020-04-04
https://labor.ny.gov/app/warn/details.asp?id=8255,4/20/2020,2019-1508,Stuart Goldberg,Temporary Plant Layoff,New York/Queens,Enterprise Holdings dba National and Alamo Rental Car,"743 Broadway New York, NY 10003",NEW YORK CITY,New York City," Celestine Crivaro,Human Resources Manager",(929) 372-7860,Rental Car,71.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,," United Construction Trades and Industrial Employees Union,Garage Employees Local Union 272-IBT",Temporary Plant Layoff,40.730079,-73.992841,True,"743 Broadway, New York, New York 10025, United States",2020-04-03
https://labor.ny.gov/app/warn/details.asp?id=8256,4/8/2020                           Amendment: 4/17/2020,2019-1214,Frederick Danks,Temporary Plant Closing,Nassau,Westbury Manor Enterprises Inc.,"1100 Jericho Turnpike  Westbury, NY 11590",HEMPSTEAD,Long Island," Jerry Scotto,General Manager",(516) 333-7117,Restaurant,119.0,119,3/22/2020 (111); 4/17/2020 (8),3/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.758737,-73.614938,True,"1100 New York Highway 25, Westbury, New York 11590, United States",2020-03-22
https://labor.ny.gov/app/warn/details.asp?id=8257,3/27/2020                              Rescission: 4/17/2020,2019-1029,Stuart Goldberg,Temporary Plant Layoff,New York,Fred Smith Plumbing & Heating,"1674 First Avenue  New York, NY 10128",NEW YORK CITY,New York City," Preston Kraus,President",(212) 744-1300,Plumbing and Heating,74.0,," 3/23/2020 – Employees have been reinstated effective April 15,2020.",,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.777762,-73.948502,True,"1674 1st Avenue, New York, New York 10128, United States",2020-03-23
https://labor.ny.gov/app/warn/details.asp?id=8258,4/23/2020,2019-1511,Frederick Danks,Temporary Plant Closing,Nassau,PQ New York Inc. dba Le Pain Quotidien,"(151 LPQ Garden City, Inc.)  630 Old Country Road Room 1024B  Garden City, NY 11530",HEMPSTEAD,Long Island," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurant,27.0,27,Separation of employees occurred on 3/22/2020 through 4/20/2020.,3/20/2020 (Closing may become permanent),Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing,40.739672,-73.613543,True,"630 Old Country Road, Garden City, New York 11530, United States",2020-03-22
https://labor.ny.gov/app/warn/details.asp?id=8259,4/23/2020,2019-1512,Elias Flores,Temporary Plant Closing,Westchester,PQ New York Inc. dba Le Pain Quotidien,"402 PQ Rye, Inc.  Rye, NY 10580",ORANGE,Mid-Hudson," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurants,23.0,42 (total affected employees for both sites),Separation of employees occurred on 3/22/2020 through 4/20/2020.,3/20/2020 (Closing may become permanent),Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing,40.9825275,-73.68436449999999,True,"City of Rye, Purchase Street, Rye, New York 10580, United States",2020-03-22
https://labor.ny.gov/app/warn/details.asp?id=8260,4/23/2020,2019-1510,Stuart Goldberg,Temporary Plant Closing,New York/Kings,PQ New York Inc. dba Le Pain Quotidien (29 New York City sites),,NEW YORK CITY,New York City," Alexandra Santiago,HR Business Person for New York and the Mid-Atlantic Region",(646) 553-1323,Restaurants,678.0,678 (total affected at all sites),Separation of employees occurred on 3/22/2020 through 4/20/2020.,Closings occurred between 3/17/2020 and 3/22/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union.,Temporary Plant Closing,23.03139,113.13732,False,"Nanhai Qu, Fuoshan Shi, Guangdong, China",2020-03-22
https://labor.ny.gov/app/warn/details.asp?id=8231,3/30/2020,2019-1482,Stuart Goldberg,Temporary Plant Layoff,New York,"Peninsula Hotel New York, LLC","700 5th Avenue  New York, NY 10019",NEW YORK CITY,New York City," Michael Ammiano,Director of Human Resources",(212) 903-3912,Hotel,459.0,,3/29/2020,,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO and UNITE HERE",Temporary Plant Layoff,40.761734,-73.975338,True,"700 5th Avenue, New York, New York 10019, United States",2020-03-29
https://labor.ny.gov/app/warn/details.asp?id=8232,4/22/2020,2019-1484,Stuart Goldberg,Temporary Plant Layoff,New York,"Deluxe Creative Services, Inc.","44 West 18th Street  New York, NY 10011",NEW YORK CITY,New York City," Louis Brahms,Manager,Human Resources",(747) 400-7986,Visual Effects and Post Production Services,19.0,,3/25/2020 – 4/19/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.73901,-73.99324,True,"44 W 18th St, Manhattan, New York 10011, United States",2020-03-25
https://labor.ny.gov/app/warn/details.asp?id=8233,4/23/2020,2019-1485,Stuart Goldberg,Temporary Plant Layoff,New York,"Deluxe Creative Services, Inc.","218 West 18th Street  New York, NY 10011",NEW YORK CITY,New York City," Louis Brahms,Manager,Human Resources",(747) 400-7986,Visual Effects and Post Production Services,66.0,,3/25/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.741405,-73.998947,True,"218 West 18th Street, New York, New York 10011, United States",2020-03-25
https://labor.ny.gov/app/warn/details.asp?id=8235,4/9/2020                               Amendment: 4/17/2020,2019-1247,Mike Clark,Temporary Plant Layoff,Oneida,"Slocum Dickson Medical Group, PLLC","1729 Burrstone Road  New Hartford, NY 13413",HMO,Mohawk Valley," Frank Servadio,Director of Human Resources",(315) 624-1962,Medical Facility,42.0,,32 employees were separated on 4/3/2020. An additional 10 employees have been temporarily separated effective 4/17/2020.,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,43.093188,-75.279365,True,"1729 Burrstone Road, New Hartford, New York 13413, United States",2020-04-03
https://labor.ny.gov/app/warn/details.asp?id=8236,4/17/2020,2019-1480,Stuart Goldberg,Plant Layoff,New York,One Kings Lane,"250 Hudson Street, 11th Floor  New York, NY 10013",NEW YORK CITY,New York City," Jess Taylor,HR Manager",(212) 430-7612,Interior Design,16.0,------,4/16/2020 and 4/17/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Plant Layoff,40.724866,-74.007548,True,"250 Hudson Street, New York, New York 10013, United States",2020-04-16
https://labor.ny.gov/app/warn/details.asp?id=8238,3/27/2020,2019-1486,Stuart Goldberg,Temporary Plant Layoff,New York,"F21 OpCo, LLC dba Forever 21","435 Seventh Avenue  New York, NY 10120",NEW YORK CITY,New York City," Erica Chang,Senior Manager,Global Stores HR",(213) 765-2966,Retail Store,429.0,,3/29/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.75047,-73.99056,True,"435 7th Ave, Manhattan, New York 10001, United States",2020-03-29
https://labor.ny.gov/app/warn/details.asp?id=8239,4/22/2020,2019-1478,Jackie Huertas,Temporary Reduction in Work Hours,Albany,"Anesthesia Group of Albany, P.C.","1450 Western Avenue, Suite 102  Albany, NY 12203",CAPITAL DISTRICT,Capital," Kevin Wilson,COO",(518) 463-0050 Ext: 101,Health Care,95.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Reduction in Work Hours,42.680627,-73.836609,True,"1450 Western Avenue, Albany, New York 12203, United States",2020-03-23
https://labor.ny.gov/app/warn/details.asp?id=8224,4/14/2020,2019-1462,Frederick Danks,Temporary Plant Layoff,Nassau/Suffolk,Imagine Early Learning Centers,"7 Willowdale Avenue  Pt. Washington, NY 11050",SUFFOLK,Long Island," Josephine Wong,Human Resources Director",(718) 960-8553,School,33.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union. Non Union,Temporary Plant Layoff,40.825648,-73.683559,True,"7 Willowdale Avenue, Port Washington, New York 11050, United States",2020-03-20
https://labor.ny.gov/app/warn/details.asp?id=8225,4/22/2020,2019-1461,Frederick Danks,Temporary Plant Layoff,Suffolk,"Quincy Compressor, LLC","87 East Jefryn Blvd., Unit B  Deer Park, NY 11729",SUFFOLK,Long Island," Kim Stillman,Human Resources Manager",(973) 606-8217,Air Compressor Manufacturer,20.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.758758,-73.29958,True,"87 East Jefryn Boulevard, Deer Park, New York 11729, United States",2020-04-03
https://labor.ny.gov/app/warn/details.asp?id=8226,4/21/2020,2019-1460,Stuart Goldberg,Plant Closing,New York,"Highgate Hotels, L.P. dba The Maxwell Hotel NYC","541 Lexington Avenue  New York, NY 10022",NEW YORK CITY,New York City," Brendan Moraes,Managing Director",(212) 407-2915,Hotel,397.0,397,4/25/2020,4/25/2020,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO",Plant Closing,40.756247,-73.972369,True,"541 Lexington Avenue, New York, New York 10022, United States",2020-04-25
https://labor.ny.gov/app/warn/details.asp?id=8227,4/3/2020,2019-1470,Frederick Danks,Plant Layoff,Suffolk/Nassau,"Mid Rockland Imaging Partners, Inc.",(Several sites in Long Island),SUFFOLK-OYSTER BAY,Long Island," Catherine Ryerson,HR Director - Northeast Region",(302) 533-2102,Diagnostic Imaging Center,18.0,,Layoffs occurred between 3/25/2020 and 4/1/2020.,,Unforeseeable business circumstances prompted by COVID-19,13-3967044,The employees are not represented by a union.,Plant Layoff,21.0,77.0,False,India,2020-03-25
https://labor.ny.gov/app/warn/details.asp?id=8228,4/3/2020,2019-1469,Stuart Goldberg,Plant Layoff,New York/Kings/Queens/Bronx/,"Mid Rockland Imaging Partners, Inc.",(Several sites in NYC),,New York City," Catherine Ryerson,HR Director - Northeast Region",(302) 533-2102,Diagnostic Imaging Center,74.0,,Layoffs occurred between 3/25/2020 and 4/1/2020.,,Unforeseeable business circumstances prompted by COVID-19,13-3967044,The employees are not represented by a union.,Plant Layoff,21.0,77.0,False,India,2020-03-25
https://labor.ny.gov/app/warn/details.asp?id=8229,4/22/2020,2019-1479,Stuart Goldberg,Temporary Plant Layoff/Plant Layoff,Bronx,"Action Environmental Systems, LLC","920 132nd Street  Bronx, NY 10454",NEW YORK CITY,New York City," Osa Willis,Director of Human Resources",(973) 286-7064,Waste Services and Material Recycling,55.0,,4/1/2020,,Unforeseeable business circumstances prompted by COVID-19,," Waste Material Recycling and General Industrial Laborers Local 108,L.I.U.N.A.,AFL-CIO",Temporary Plant Layoff/Plant Layoff,40.797707,-73.911935,True,"920 East 132nd Street, Bronx, New York 10454, United States",2020-04-01
https://labor.ny.gov/app/warn/details.asp?id=8230,4/3/2020,2019-1487,Stuart Goldberg,Temporary Plant Layoff,New York,"Global Operations Security Services, Inc.","54 W. 39th Street, 5th Floor  New York, NY 10018",NEW YORK CITY,New York City," Amit Levi,Esq.,Executive Vice President and General Counsel",(917) 400-4109,Security Services,115.0,,4/3/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.752489,-73.984668,True,"54 West 39th Street, New York, New York 10018, United States",2020-04-03
https://labor.ny.gov/app/warn/details.asp?id=8179,4/17/2020,2019-1416,Stuart Goldberg,Temporary Plant Closing,New York,"144 PQ 97th Street, Inc.","1399 Madison Avenue  New York, NY 10029",NEW YORK CITY,New York City," Kaelin Birkenhead,Chief of Staff,People + Culture",(646) 553-1323,Restaurant,32.0,32,3/20/2020,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.78782,-73.95361,True,"1399 Madison Ave, Manhattan, New York 10029, United States",2020-03-20
https://labor.ny.gov/app/warn/details.asp?id=8180,3/17/2020,2019-1415,Stuart Goldberg,Temporary Plant Closing,New York/Kings,Tacombi,"265 Bowery  New York, NY 10002",NEW YORK CITY,New York City," Delia Rojas,Director of Human Resources",(570) 751-6882,Restaurant,357.0,357,3/17/2020,3/17/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.723452,-73.99261899999998,True,"265 Bowery, New York, New York 10002, United States",2020-03-17
https://labor.ny.gov/app/warn/details.asp?id=8181,4/17/2020,2019-1428,Stuart Goldberg,Temporary Plant Layoff,New York,Wolf on Broadway LLC dba Wolfgang's Steakhouse,"1359 Broadway  New York, NY 10018",NEW YORK CITY,New York City," Peter Zwiener,Partner",(646) 642-4655,Restaurant,67.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.75186,-73.98798000000002,True,"1359 Broadway, Manhattan, New York 10018, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8182,4/17/2020,2019-1426,Stuart Goldberg,Temporary Plant Closing,New York,Wolf Westside LLC dba Wolfgang's Steakhouse,"250 West 41st Street  New York, NY 10018",NEW YORK CITY,New York City," Peter Zwiener,Partner",(646) 642-4655,Restaurant,76.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.7557,-73.98846,True,"250 W 41st St, Manhattan, New York 10018, United States",2020-03-20
https://labor.ny.gov/app/warn/details.asp?id=8183,4/17/2020,2019-1430,Stuart Goldberg,Temporary Plant Closing,New York,The Surrey Hotel,"20 E. 76th Street  New York, NY 10021",NEW YORK CITY,New York City," Claes Landberg,General Manager",(646) 358-3605,Hotel,110.0,110,3/24/2020,3/24/2020,Unforeseeable business circumstances prompted by COVID-19,," New York Hotel & Motel Trades Council,AFL-CIO",Temporary Plant Closing,40.774431,-73.963954,True,"20 East 76th Street, New York, New York 10021, United States",2020-03-24
https://labor.ny.gov/app/warn/details.asp?id=8184,4/17/2020,2019-1427,Regenna Darrah,Temporary Plant Layoff,Genesee,Aludyne New York,"4320 Federal Drive  Batavia, NY 14020",GLOW,Finger Lakes," Douglas J. Smith,Plant Manager",(585) 815-1726,Manufacturing,103.0,,3/20/2020,,Unforeseeable business circumstances prompted by COVID-19,," UAW Union,Local 481",Temporary Plant Layoff,43.020315,-78.19651800000003,True,"4320 Federal Drive, Batavia, New York 14020, United States",2020-03-20
https://labor.ny.gov/app/warn/details.asp?id=8185,3/25/2020,2019-1442,Stuart Goldberg,Temporary Plant Closing,New York,Funburger Corporation dba Curry-Ya,"1467 Amsterdam Ave  New York, NY 10027",NEW YORK CITY,New York City," Sakura Yagi,COO",(212) 228-3030,Restaurant,,,3/20/2020,3/20/2020,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Closing,40.817117,-73.953251,True,"1467 Amsterdam Avenue, New York, New York 10027, United States",2020-03-20
https://labor.ny.gov/app/warn/details.asp?id=8186,4/8/2020,2019-1441,Stuart Goldberg,Temporary Plant Layoff,New York,Major Dough Soho 463 LLC,"463 W Broadway  New York, NY 10012",NEW YORK CITY,New York City," Kutina Ruhumbika,Vice President of Human Resources",-----,Restaurant,68.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,,The employees are not represented by a union,Temporary Plant Layoff,40.726306,-74.000268,True,"463 West Broadway, New York, New York 10012, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8187,4/17/2020,2019-1440,Stuart Goldberg,Temporary Plant Layoff,New York,BC Hospitality Group LLC,"205 Hudson Street, Suite 1001  New York, NY 10013",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,3.0,,3/27/2020,,Unforeseeable business circumstances prompted by COVID-19,35-2519360,The employees are not represented by a union,Temporary Plant Layoff,40.723447,-74.008155,True,"205 Hudson Street, New York, New York 10013, United States",2020-03-27
https://labor.ny.gov/app/warn/details.asp?id=8188,4/17/2020,2019-1439,Stuart Goldberg,Temporary Plant Layoff,New York,E2 60 West 22nd Street LLC,"60 W 22nd Street  New York, NY 10010",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,24.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,30-0879567,The employees are not represented by a union,Temporary Plant Layoff,40.74184,-73.993,True,"60 W 22nd St, Manhattan, New York 10010, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8189,4/17/2020,2019-1438,Stuart Goldberg,Temporary Plant Layoff,New York,E2 185 Bleecker LLC,"185 Bleecker St.  New York, NY 10012",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,21.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,64-1746862,The employees are not represented by a union,Temporary Plant Layoff,40.729168,-74.00097199999998,True,"185 Bleecker Street, New York, New York 10012, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8190,4/17/2020,2019-1437,Stuart Goldberg,Temporary Plant Layoff,New York,BC 1385 Broadway LLC,"1385 Broadway  New York, NY 10003",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,15.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,83-2182138,The employees are not represented by a union,Temporary Plant Layoff,40.75285,-73.98783,True,"1385 Broadway, Manhattan, New York 10018, United States",2020-03-23
https://labor.ny.gov/app/warn/details.asp?id=8191,4/17/2020,2019-1436,Stuart Goldberg,Temporary Plant Layoff,New York,CW SSS LLC,"181 Front Street  New York, NY 10038",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,16.0,,3/23/2020,,Unforeseeable business circumstances prompted by COVID-19,81-2449958,The employees are not represented by a union,Temporary Plant Layoff,40.706574,-74.004177,True,"181 Front Street, New York, New York 10038, United States",2020-03-23
https://labor.ny.gov/app/warn/details.asp?id=8192,4/17/2020,2019-1435,Stuart Goldberg,Temporary Plant Layoff,New York,E2 Lafayette LLC,"240 Lafayette St.  New York, NY 10012",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,24.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,37-179749,The employees are not represented by a union,Temporary Plant Layoff,40.722726,-73.997113,True,"240 Lafayette Street, New York, New York 10012, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8193,4/17/2020,2019-1433,Stuart Goldberg,Temporary Plant Closing,New York,BC Union Square LLC,"30 E. 16th Street  New York, NY 10003",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,18.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,61-1885172,The employees are not represented by a union,Temporary Plant Closing,40.73659,-73.99115,True,"30 East 16th Street, New York, New York 10003, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8194,4/17/2020,2019-1432,Stuart Goldberg,Temporary Plant Closing,New York,BC 630 Lexington LLC,"630 Lexington Avenue  New York, NY 10022",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,12.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,83-4603202,The employees are not represented by a union,Temporary Plant Closing,40.758761,-73.970896,True,"630 Lexington Avenue, New York, New York 10022, United States",2020-03-16
https://labor.ny.gov/app/warn/details.asp?id=8195,4/17/2020,2019-1431,Stuart Goldberg,Temporary Plant Layoff,New York,BCRC LLC,"1 Rockefeller Plaza  New York, NY 10020",NEW YORK CITY,New York City," Catey Mark Meyers,Chief of Staff",(646) 389-0882,Restaurant,26.0,,3/16/2020,,Unforeseeable business circumstances prompted by COVID-19,81-2747297,The employees are not represented by a union,Temporary Plant Layoff,40.75777,-73.97927,True,"1 Rockefeller Plz, Manhattan, New York 10020, United States",2020-03-16
